2019-04-22 18:08:50,722: Key.cmd
2019-04-22 18:08:50,864: 't'
2019-04-22 18:08:52,093: 'h'
2019-04-22 18:08:52,293: 'e'
2019-04-22 18:08:52,438: 'l'
2019-04-22 18:08:52,587: 'l'
2019-04-22 18:08:52,744: 'o'
2019-04-22 18:08:52,942: Key.space
2019-04-22 18:08:55,637: Key.backspace
2019-04-22 18:08:56,075: 't'
2019-04-22 18:08:56,269: 'e'
2019-04-22 18:08:56,417: 's'
2019-04-22 18:08:56,584: 't'
2019-04-22 18:08:56,648: 'i'
2019-04-22 18:08:56,784: 'n'
2019-04-22 18:08:56,913: 'g'
2019-04-22 18:08:59,841: 'c'
2019-04-22 18:09:00,664: 's'
2019-04-22 18:09:00,986: '4'
2019-04-22 18:09:01,238: '6'
2019-04-22 18:09:01,330: '0'
2019-04-22 18:09:01,669: Key.space
2019-04-22 18:09:03,558: Key.backspace
2019-04-22 18:09:04,036: 'r'
2019-04-22 18:09:04,147: 'u'
2019-04-22 18:09:04,379: 'l'
2019-04-22 18:09:04,486: 'e'
2019-04-22 18:09:04,687: 's'
2019-04-22 18:09:05,869: Key.backspace
2019-04-22 18:09:08,207: Key.esc
